dpe_classe,ges_classe,type_energie,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,latitude,longitude,source_type
C,C,individuel,67.5,79,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,74.4,77.5,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,52,77.5,NA,appartement,69,69008,6515699.75,846748.82,Neuf
C,C,individuel,77.4,64.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,64.4,65.5,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,72.5,64.6,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,92.5,86.1,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,76.6,66.5,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,92.4,45.6,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,83.5,60,NA,appartement,69,69008,6517077.08,845597.22,Neuf
C,C,individuel,79,41.4,NA,appartement,69,69008,6515699.75,846748.82,Neuf
C,C,individuel,72.5,41.8,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,96.1,42.3,NA,appartement,69,69008,6517077.08,845597.22,Neuf
C,C,individuel,58.6,109.4,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,68.8,61.2,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,83.6,45.2,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,71.1,68.4,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,85,61,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,50.6,63.8,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,78,64,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,78.1,64.1,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,72.5,42.7,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,70.4,117.7,NA,appartement,69,69008,6517077.08,845597.22,Neuf
C,C,individuel,66.7,72.6,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,63.2,81,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,82.4,65,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,52.5,62.3,NA,appartement,69,69008,6515696.68,845911.36,Neuf
B,B,individuel,90.5,71,NA,appartement,69,69008,6516557.7,846500.08,Neuf
B,B,individuel,48,85.6,NA,appartement,69,69008,6515699.75,846748.82,Neuf
C,C,individuel,61.8,58.5,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,60.6,64.5,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,81.4,67.4,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,78.9,46.4,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,52.6,66.5,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,72,64.9,NA,appartement,69,69008,6515699.75,846748.82,Neuf
B,B,individuel,76.3,62.1,NA,appartement,69,69008,6516477.7,844318.55,Neuf
C,C,individuel,61,85.6,NA,appartement,69,69008,6515699.75,846748.82,Neuf
